date,channel,spend,revenue_contribution,roas,optimized_spend
2023-04-17,Email,7156.57,7307.0,1.049,8301.62
2023-04-17,SMS,4601.55,5283.94,1.179,5061.7
2023-04-17,Social Media,7968.21,7225.64,0.931,6374.57
2023-04-17,Paid Search,17374.99,15870.22,0.938,18243.74
2023-04-24,Email,6480.75,6615.2,1.047,7517.67
2023-04-24,SMS,4632.83,5327.0,1.18,5096.11
2023-04-24,Social Media,10820.17,9852.43,0.934,8656.14
2023-04-24,Paid Search,16872.36,15396.46,0.936,17715.98
2023-05-01,Email,8471.37,8820.13,1.059,9826.79
2023-05-01,SMS,3272.49,3751.21,1.166,3599.74
2023-05-01,Social Media,14722.38,13753.45,0.95,11777.9
2023-05-01,Paid Search,16885.04,15541.4,0.936,17729.29
2023-05-08,Email,6637.96,6983.13,1.052,7700.04
2023-05-08,SMS,5122.24,6053.6,1.181,5634.46
2023-05-08,Social Media,12160.7,11538.45,0.948,9728.56
2023-05-08,Paid Search,14963.26,13895.89,0.928,15711.42
2023-05-15,Email,5881.54,6298.65,1.044,6822.59
2023-05-15,SMS,2878.52,3428.68,1.161,3166.37
2023-05-15,Social Media,9305.64,8946.27,0.937,7444.51
2023-05-15,Paid Search,12308.24,11544.49,0.914,12923.65
2023-05-22,Email,10198.47,11522.9,1.066,11830.23
2023-05-22,SMS,4469.49,5566.57,1.175,4916.43
2023-05-22,Social Media,10211.74,10112.91,0.934,8169.39
2023-05-22,Paid Search,15227.41,14967.16,0.927,15988.78
2023-05-29,Email,7661.34,8941.29,1.06,8887.15
2023-05-29,SMS,5752.36,7518.01,1.187,6327.6
2023-05-29,Social Media,13698.99,14277.74,0.947,10959.2
2023-05-29,Paid Search,12968.51,13103.31,0.918,13616.94
2023-06-05,Email,8101.29,9858.67,1.06,9397.5
2023-06-05,SMS,3207.57,4298.09,1.167,3528.33
2023-06-05,Social Media,10174.08,10971.02,0.939,8139.27
2023-06-05,Paid Search,17925.36,19303.37,0.938,18821.63
2023-06-12,Email,5862.88,7355.88,1.047,6800.94
2023-06-12,SMS,3546.96,4956.12,1.166,3901.66
2023-06-12,Social Media,12541.15,14197.17,0.945,10032.92
2023-06-12,Paid Search,14558.83,16169.21,0.927,15286.77
2023-06-19,Email,7183.43,9439.92,1.051,8332.77
2023-06-19,SMS,4079.72,5976.1,1.172,4487.69
2023-06-19,Social Media,12113.93,14318.85,0.946,9691.14
2023-06-19,Paid Search,12523.51,14326.05,0.915,13149.68
2023-06-26,Email,8166.38,11233.45,1.058,9473.01
2023-06-26,SMS,3597.22,5460.25,1.168,3956.94
2023-06-26,Social Media,10371.0,12668.67,0.94,8296.8
2023-06-26,Paid Search,14035.84,16821.26,0.922,14737.63
2023-07-03,Email,6273.51,8855.75,1.049,7277.27
2023-07-03,SMS,2759.47,4288.0,1.155,3035.42
2023-07-03,Social Media,17359.86,22418.44,0.96,13887.89
2023-07-03,Paid Search,16238.79,20370.99,0.932,17050.73
2023-07-10,Email,8563.55,12560.56,1.06,9933.71
2023-07-10,SMS,4054.85,6566.62,1.17,4460.34
2023-07-10,Social Media,13584.8,18011.48,0.958,10867.84
2023-07-10,Paid Search,13308.83,16949.55,0.92,13974.27
2023-07-17,Email,7099.04,10580.38,1.055,8234.89
2023-07-17,SMS,3150.16,5169.75,1.161,3465.17
2023-07-17,Social Media,6937.14,9151.47,0.934,5549.71
2023-07-17,Paid Search,12533.34,16196.03,0.914,13160.01
2023-07-24,Email,7562.46,11419.11,1.056,8772.45
2023-07-24,SMS,4378.87,7354.13,1.174,4816.76
2023-07-24,Social Media,12466.14,16791.26,0.942,9972.91
2023-07-24,Paid Search,15731.06,20914.34,0.93,16517.61
2023-07-31,Email,7097.44,10720.3,1.053,8233.03
2023-07-31,SMS,3264.46,5448.62,1.164,3590.91
2023-07-31,Social Media,10345.53,13906.3,0.937,8276.43
2023-07-31,Paid Search,15734.9,21002.41,0.931,16521.64
2023-08-07,Email,10778.42,16410.13,1.07,12502.96
2023-08-07,SMS,5239.95,8814.7,1.182,5763.94
2023-08-07,Social Media,14131.08,19090.65,0.949,11304.87
2023-08-07,Paid Search,13479.17,17661.81,0.921,14153.13
2023-08-14,Email,7979.75,11853.1,1.063,9256.51
2023-08-14,SMS,3373.4,5504.57,1.168,3710.74
2023-08-14,Social Media,10018.7,13166.03,0.94,8014.96
2023-08-14,Paid Search,13586.89,17471.46,0.92,14266.23
2023-08-21,Email,6413.43,9156.73,1.052,7439.58
2023-08-21,SMS,3742.35,5935.64,1.168,4116.59
2023-08-21,Social Media,11713.16,14978.78,0.942,9370.53
2023-08-21,Paid Search,15696.15,19812.0,0.93,16480.96
2023-08-28,Email,9233.82,12804.44,1.063,10711.23
2023-08-28,SMS,4650.81,7143.2,1.178,5115.9
2023-08-28,Social Media,13262.47,16402.0,0.948,10609.97
2023-08-28,Paid Search,10655.75,12566.1,0.904,11188.53
2023-09-04,Email,6168.73,8028.75,1.05,7155.73
2023-09-04,SMS,3015.31,4339.95,1.162,3316.84
2023-09-04,Social Media,14164.39,16743.74,0.954,11331.51
2023-09-04,Paid Search,10777.61,12044.2,0.902,11316.49
2023-09-11,Email,8313.3,10251.01,1.059,9643.42
2023-09-11,SMS,4181.97,5710.14,1.172,4600.16
2023-09-11,Social Media,8999.26,9845.94,0.939,7199.41
2023-09-11,Paid Search,12844.67,13681.15,0.914,13486.9
2023-09-18,Email,5060.49,5706.49,1.04,5870.17
2023-09-18,SMS,5045.71,6463.34,1.182,5550.29
2023-09-18,Social Media,11163.75,11369.04,0.939,8931.0
2023-09-18,Paid Search,14359.66,14373.8,0.923,15077.64
2023-09-25,Email,6007.72,6254.36,1.041,6968.96
2023-09-25,SMS,2714.01,3144.54,1.159,2985.41
2023-09-25,Social Media,10812.64,10143.46,0.938,8650.11
2023-09-25,Paid Search,15932.72,14835.17,0.931,16729.36
2023-10-02,Email,8295.29,8027.59,1.057,9622.54
2023-10-02,SMS,4147.71,4450.72,1.171,4562.48
2023-10-02,Social Media,10366.68,8884.0,0.936,8293.34
2023-10-02,Paid Search,19426.07,16793.85,0.944,20397.37
2023-10-09,Email,9107.7,8093.46,1.064,10564.93
2023-10-09,SMS,4207.91,4126.94,1.174,4628.7
2023-10-09,Social Media,16413.64,13102.04,0.956,13130.91
2023-10-09,Paid Search,17572.98,13785.06,0.939,18451.63
2023-10-16,Email,8257.05,6673.83,1.062,9578.18
2023-10-16,SMS,4625.46,4148.39,1.179,5088.0
2023-10-16,Social Media,13012.45,9448.07,0.954,10409.96
2023-10-16,Paid Search,14520.18,10240.44,0.927,15246.19
2023-10-23,Email,7826.53,5770.97,1.059,9078.77
2023-10-23,SMS,3010.44,2434.28,1.162,3311.48
2023-10-23,Social Media,8847.79,5780.88,0.939,7078.23
2023-10-23,Paid Search,14942.95,9643.1,0.927,15690.1
2023-10-30,Email,7548.34,5127.51,1.057,8756.08
2023-10-30,SMS,2943.63,2187.13,1.156,3238.0
2023-10-30,Social Media,14294.65,8729.76,0.95,11435.72
2023-10-30,Paid Search,11992.41,7029.58,0.912,12592.03
2023-11-06,Email,5782.22,3641.23,1.045,6707.37
2023-11-06,SMS,4417.55,3124.72,1.174,4859.31
2023-11-06,Social Media,17305.39,10044.14,0.963,13844.31
2023-11-06,Paid Search,14944.46,8337.54,0.926,15691.68
2023-11-13,Email,6920.23,4188.48,1.049,8027.47
2023-11-13,SMS,4237.59,2872.39,1.175,4661.35
2023-11-13,Social Media,14581.16,8094.81,0.962,11664.93
2023-11-13,Paid Search,14134.02,7529.4,0.923,14840.73
2023-11-20,Email,7309.04,4355.73,1.053,8478.49
2023-11-20,SMS,4200.39,2793.47,1.175,4620.43
2023-11-20,Social Media,8201.58,4374.15,0.942,6561.26
2023-11-20,Paid Search,15968.16,8418.19,0.931,16766.56
2023-11-27,Email,9585.68,5817.23,1.065,11119.39
2023-11-27,SMS,4277.16,2864.65,1.175,4704.87
2023-11-27,Social Media,10789.41,5774.87,0.939,8631.53
2023-11-27,Paid Search,12518.31,6531.47,0.916,13144.22
2023-12-04,Email,8515.43,5315.6,1.064,9877.9
2023-12-04,SMS,3455.98,2366.46,1.167,3801.58
2023-12-04,Social Media,15167.28,8486.21,0.953,12133.82
2023-12-04,Paid Search,16558.04,9066.46,0.933,17385.94
2023-12-11,Email,5355.44,3446.02,1.045,6212.31
2023-12-11,SMS,4185.8,3023.78,1.173,4604.38
2023-12-11,Social Media,10230.83,5944.49,0.944,8184.66
2023-12-11,Paid Search,19598.22,11397.53,0.944,20578.13
2023-12-18,Email,8486.13,5876.61,1.058,9843.91
2023-12-18,SMS,4234.46,3254.93,1.175,4657.9
2023-12-18,Social Media,13109.55,8136.69,0.949,10487.64
2023-12-18,Paid Search,14673.72,8911.85,0.928,15407.41
2023-12-25,Email,7422.38,5487.07,1.056,8609.96
2023-12-25,SMS,3428.52,2798.95,1.166,3771.37
2023-12-25,Social Media,13936.59,9301.6,0.953,11149.27
2023-12-25,Paid Search,16205.14,10579.3,0.933,17015.39
2024-01-01,Email,6984.62,5515.48,1.053,8102.16
2024-01-01,SMS,5492.62,4878.56,1.184,6041.88
2024-01-01,Social Media,9682.67,6838.32,0.942,7746.14
2024-01-01,Paid Search,17070.43,11987.87,0.936,17923.95
2024-01-08,Email,8917.51,7593.4,1.062,10344.32
2024-01-08,SMS,4379.07,4137.06,1.178,4816.97
2024-01-08,Social Media,11851.19,8960.92,0.943,9480.95
2024-01-08,Paid Search,13796.34,10208.41,0.923,14486.16
2024-01-15,Email,9546.5,8680.81,1.067,11073.94
2024-01-15,SMS,3046.96,3017.78,1.162,3351.65
2024-01-15,Social Media,3896.83,3010.42,0.907,3117.47
2024-01-15,Paid Search,15672.28,12419.9,0.93,16455.89
2024-01-22,Email,9396.92,9020.95,1.068,10900.43
2024-01-22,SMS,4525.24,4783.18,1.176,4977.77
2024-01-22,Social Media,9439.03,7771.73,0.916,7551.22
2024-01-22,Paid Search,15037.78,12544.51,0.928,15789.67
2024-01-29,Email,6741.17,6691.48,1.056,7819.76
2024-01-29,SMS,3220.25,3523.42,1.164,3542.28
2024-01-29,Social Media,11368.58,9935.04,0.93,9094.86
2024-01-29,Paid Search,15293.03,13354.28,0.929,16057.68
2024-02-05,Email,7536.18,7750.88,1.056,8741.97
2024-02-05,SMS,4629.67,5307.29,1.177,5092.63
2024-02-05,Social Media,8880.54,7995.39,0.924,7104.43
2024-02-05,Paid Search,12680.97,11317.43,0.916,13315.02
2024-02-12,Email,8496.9,9011.34,1.061,9856.4
2024-02-12,SMS,4926.88,5818.76,1.181,5419.56
2024-02-12,Social Media,16081.03,15285.36,0.951,12864.82
2024-02-12,Paid Search,15073.53,13965.45,0.927,15827.21
2024-02-19,Email,9463.32,10259.88,1.066,10977.45
2024-02-19,SMS,3343.45,3966.86,1.167,3677.8
2024-02-19,Social Media,8424.65,8006.74,0.935,6739.72
2024-02-19,Paid Search,16493.99,15654.65,0.934,17318.69
2024-02-26,Email,7281.24,7899.07,1.058,8446.24
2024-02-26,SMS,4770.7,5764.7,1.179,5247.77
2024-02-26,Social Media,10899.89,10461.26,0.936,8719.91
2024-02-26,Paid Search,19353.43,18725.23,0.944,20321.1
2024-03-04,Email,7721.51,8381.16,1.058,8956.95
2024-03-04,SMS,4330.22,5229.45,1.177,4763.25
2024-03-04,Social Media,12326.85,11922.03,0.942,9861.48
2024-03-04,Paid Search,17877.81,17249.16,0.94,18771.7
2024-03-11,Email,6340.5,6793.6,1.049,7354.98
2024-03-11,SMS,4657.65,5608.82,1.179,5123.41
2024-03-11,Social Media,15603.18,15229.39,0.956,12482.55
2024-03-11,Paid Search,21459.55,20814.26,0.95,22532.52
2024-03-18,Email,6205.69,6563.21,1.045,7198.6
2024-03-18,SMS,5517.43,6620.77,1.186,6069.18
2024-03-18,Social Media,8410.34,7982.79,0.938,6728.28
2024-03-18,Paid Search,12697.96,11816.61,0.92,13332.86
2024-03-25,Email,9218.79,9790.65,1.062,10693.79
2024-03-25,SMS,3803.69,4464.09,1.174,4184.06
2024-03-25,Social Media,14907.91,14193.96,0.952,11926.33
2024-03-25,Paid Search,17616.96,16510.88,0.937,18497.81
2024-04-01,Email,10034.36,10600.59,1.069,11639.86
2024-04-01,SMS,3397.01,3913.09,1.166,3736.71
2024-04-01,Social Media,12025.58,11280.39,0.949,9620.47
2024-04-01,Paid Search,15550.03,14306.45,0.931,16327.53
2024-04-08,Email,7891.98,8205.27,1.062,9154.7
2024-04-08,SMS,3288.39,3741.06,1.162,3617.23
2024-04-08,Social Media,9546.23,8768.7,0.938,7636.98
2024-04-08,Paid Search,21569.41,20046.91,0.949,22647.88
2024-04-15,Email,9505.3,9875.59,1.067,11026.15
2024-04-15,SMS,3347.35,3788.71,1.162,3682.09
2024-04-15,Social Media,13155.26,12123.52,0.946,10524.21
2024-04-15,Paid Search,12575.11,11254.71,0.919,13203.86
2024-04-22,Email,8542.45,8863.4,1.064,9909.25
2024-04-22,SMS,3938.32,4490.86,1.17,4332.15
2024-04-22,Social Media,12497.65,11547.34,0.948,9998.12
2024-04-22,Paid Search,12480.83,11120.88,0.914,13104.88
2024-04-29,Email,7032.32,7303.25,1.056,8157.49
2024-04-29,SMS,4272.92,4935.42,1.175,4700.21
2024-04-29,Social Media,10499.46,9719.9,0.941,8399.57
2024-04-29,Paid Search,13201.82,11911.81,0.918,13861.91
2024-05-06,Email,8542.09,9068.48,1.061,9908.83
2024-05-06,SMS,4221.35,4961.64,1.175,4643.49
2024-05-06,Social Media,12174.51,11500.5,0.944,9739.6
2024-05-06,Paid Search,8628.31,7663.8,0.888,9059.73
2024-05-13,Email,10307.05,11312.58,1.07,11956.18
2024-05-13,SMS,4661.75,5639.03,1.179,5127.92
2024-05-13,Social Media,11036.72,10661.13,0.941,8829.37
2024-05-13,Paid Search,13422.73,12623.3,0.917,14093.87
2024-05-20,Email,7946.26,8950.37,1.063,9217.66
2024-05-20,SMS,4010.4,4989.28,1.174,4411.44
2024-05-20,Social Media,12283.79,12299.72,0.945,9827.03
2024-05-20,Paid Search,12722.6,12340.3,0.915,13358.73
2024-05-27,Email,10346.97,12192.35,1.07,12002.48
2024-05-27,SMS,5162.83,6723.47,1.183,5679.11
2024-05-27,Social Media,13655.33,14296.24,0.951,10924.26
2024-05-27,Paid Search,15451.18,15794.65,0.928,16223.74
2024-06-03,Email,4070.38,4853.5,1.039,4721.64
2024-06-03,SMS,3788.27,5098.56,1.172,4167.1
2024-06-03,Social Media,15965.04,17595.44,0.96,12772.03
2024-06-03,Paid Search,16025.27,17142.97,0.932,16826.53
2024-06-10,Email,9232.85,11737.92,1.061,10710.11
2024-06-10,SMS,6176.14,8801.82,1.189,6793.75
2024-06-10,Social Media,8905.46,10064.97,0.943,7124.37
2024-06-10,Paid Search,20628.51,23414.39,0.947,21659.94
2024-06-17,Email,8130.57,10778.41,1.061,9431.46
2024-06-17,SMS,4500.53,6642.51,1.181,4950.59
2024-06-17,Social Media,17332.58,20815.07,0.961,13866.07
2024-06-17,Paid Search,17851.27,20985.01,0.94,18743.84
2024-06-24,Email,7551.49,10381.57,1.058,8759.73
2024-06-24,SMS,3314.27,5026.05,1.167,3645.7
2024-06-24,Social Media,7119.78,8669.32,0.937,5695.82
2024-06-24,Paid Search,13269.29,15887.6,0.921,13932.75
2024-07-01,Email,8137.64,11603.5,1.06,9439.66
2024-07-01,SMS,3143.29,4908.33,1.16,3457.61
2024-07-01,Social Media,11620.54,14698.21,0.94,9296.43
2024-07-01,Paid Search,12304.76,15121.97,0.913,12919.99
2024-07-08,Email,5018.65,7227.32,1.04,5821.63
2024-07-08,SMS,4385.98,7128.77,1.174,4824.58
2024-07-08,Social Media,13470.79,17679.98,0.948,10776.63
2024-07-08,Paid Search,16475.76,21267.13,0.933,17299.55
2024-07-15,Email,7670.49,11411.0,1.053,8897.77
2024-07-15,SMS,3821.23,6321.68,1.171,4203.35
2024-07-15,Social Media,12702.48,17041.37,0.949,10161.98
2024-07-15,Paid Search,11039.3,14152.57,0.907,11591.27
2024-07-22,Email,8535.67,12944.72,1.06,9901.38
2024-07-22,SMS,4571.2,7698.2,1.177,5028.32
2024-07-22,Social Media,10443.25,14070.33,0.942,8354.6
2024-07-22,Paid Search,20494.38,27714.5,0.946,21519.1
2024-07-29,Email,10216.84,15663.94,1.069,11851.54
2024-07-29,SMS,4378.59,7389.56,1.177,4816.45
2024-07-29,Social Media,11479.69,15506.21,0.942,9183.76
2024-07-29,Paid Search,18538.32,25051.73,0.942,19465.24
2024-08-05,Email,7222.59,10885.01,1.059,8378.21
2024-08-05,SMS,3941.74,6577.76,1.173,4335.91
2024-08-05,Social Media,10767.5,14392.37,0.939,8614.0
2024-08-05,Paid Search,13592.47,17852.29,0.923,14272.1
2024-08-12,Email,6787.26,9984.08,1.053,7873.22
2024-08-12,SMS,3322.57,5406.32,1.164,3654.82
2024-08-12,Social Media,10526.59,13781.65,0.937,8421.27
2024-08-12,Paid Search,9860.6,12372.82,0.898,10353.63
2024-08-19,Email,7247.36,10362.27,1.053,8406.94
2024-08-19,SMS,2788.12,4368.86,1.154,3066.93
2024-08-19,Social Media,14124.01,18195.54,0.949,11299.2
2024-08-19,Paid Search,19061.62,24343.86,0.941,20014.7
2024-08-26,Email,9373.1,13009.03,1.064,10872.8
2024-08-26,SMS,3642.79,5533.61,1.165,4007.07
2024-08-26,Social Media,12892.54,15978.58,0.95,10314.03
2024-08-26,Paid Search,14656.38,17728.18,0.928,15389.2
2024-09-02,Email,8493.13,11189.35,1.063,9852.03
2024-09-02,SMS,4685.12,6835.97,1.178,5153.63
2024-09-02,Social Media,10267.73,11983.56,0.942,8214.18
2024-09-02,Paid Search,18713.45,21827.27,0.941,19649.12
2024-09-09,Email,7205.36,8867.36,1.057,8358.22
2024-09-09,SMS,4171.27,5708.98,1.175,4588.4
2024-09-09,Social Media,14249.0,15792.53,0.952,11399.2
2024-09-09,Paid Search,10216.72,10752.04,0.904,10727.55
2024-09-16,Email,8769.9,10100.14,1.062,10173.09
2024-09-16,SMS,3003.41,3778.78,1.161,3303.75
2024-09-16,Social Media,12768.25,13166.58,0.951,10214.6
2024-09-16,Paid Search,13201.87,13117.27,0.917,13861.97
2024-09-23,Email,8145.62,8643.41,1.061,9448.91
2024-09-23,SMS,4138.54,4849.07,1.172,4552.4
2024-09-23,Social Media,14032.16,13400.44,0.955,11225.72
2024-09-23,Paid Search,15015.73,13913.84,0.927,15766.52
2024-09-30,Email,9452.97,9234.35,1.066,10965.44
2024-09-30,SMS,4308.25,4637.67,1.175,4739.08
2024-09-30,Social Media,13574.07,11879.23,0.955,10859.26
2024-09-30,Paid Search,15140.94,12871.16,0.928,15897.99
2024-10-07,Email,6946.92,6129.81,1.056,8058.43
2024-10-07,SMS,3292.91,3203.27,1.165,3622.21
2024-10-07,Social Media,9927.51,7825.56,0.944,7942.01
2024-10-07,Paid Search,13649.8,10503.49,0.921,14332.29
2024-10-14,Email,7508.51,6033.71,1.056,8709.87
2024-10-14,SMS,4122.98,3677.66,1.172,4535.28
2024-10-14,Social Media,10599.55,7578.25,0.94,8479.64
2024-10-14,Paid Search,16868.55,11997.36,0.935,17711.98
2024-10-21,Email,7411.84,5443.73,1.055,8597.73
2024-10-21,SMS,4046.57,3302.69,1.173,4451.22
2024-10-21,Social Media,13868.23,9162.79,0.949,11094.59
2024-10-21,Paid Search,11797.14,7489.2,0.912,12387.0
2024-10-28,Email,5804.73,3896.29,1.045,6733.48
2024-10-28,SMS,3085.62,2302.25,1.161,3394.19
2024-10-28,Social Media,13525.93,8279.0,0.953,10820.74
2024-10-28,Paid Search,14572.86,8654.54,0.924,15301.5
2024-11-04,Email,8444.18,5383.09,1.058,9795.25
2024-11-04,SMS,4286.23,3030.09,1.173,4714.85
2024-11-04,Social Media,11947.75,6832.46,0.949,9558.2
2024-11-04,Paid Search,15360.89,8596.24,0.929,16128.93
2024-11-11,Email,8391.58,5136.52,1.061,9734.24
2024-11-11,SMS,4448.63,3020.21,1.177,4893.49
2024-11-11,Social Media,12293.32,6726.69,0.948,9834.65
2024-11-11,Paid Search,16543.32,8913.9,0.934,17370.48
2024-11-18,Email,8007.67,4805.16,1.06,9288.9
2024-11-18,SMS,4866.44,3253.5,1.181,5353.09
2024-11-18,Social Media,15194.16,8232.31,0.957,12155.33
2024-11-18,Paid Search,17134.84,9085.47,0.937,17991.59
2024-11-25,Email,7648.12,4609.71,1.058,8871.82
2024-11-25,SMS,4843.04,3260.43,1.182,5327.35
2024-11-25,Social Media,10521.07,5676.22,0.947,8416.86
2024-11-25,Paid Search,11626.07,6037.62,0.911,12207.38
2024-12-02,Email,5876.94,3608.12,1.046,6817.25
2024-12-02,SMS,2897.86,1974.96,1.161,3187.65
2024-12-02,Social Media,13367.74,7460.16,0.951,10694.19
2024-12-02,Paid Search,10397.66,5492.73,0.9,10917.54
2024-12-09,Email,7369.03,4774.85,1.052,8548.08
2024-12-09,SMS,3249.74,2322.87,1.161,3574.71
2024-12-09,Social Media,11494.52,6700.78,0.947,9195.61
2024-12-09,Paid Search,18833.03,10903.45,0.94,19774.68
2024-12-16,Email,7485.93,5165.8,1.055,8683.68
2024-12-16,SMS,4412.03,3390.68,1.175,4853.23
2024-12-16,Social Media,11455.8,7078.41,0.944,9164.64
2024-12-16,Paid Search,15996.94,9766.5,0.933,16796.79
2024-12-23,Email,6796.58,5001.03,1.051,7884.04
2024-12-23,SMS,4411.03,3633.28,1.177,4852.13
2024-12-23,Social Media,14746.94,9848.7,0.954,11797.55
2024-12-23,Paid Search,12754.54,8189.48,0.917,13392.27
