date,week,month,quarter,year,email_spend,sms_spend,social_spend,search_spend,total_spend,revenue,conversions,base_revenue
2024-01-08,54,January 2024,1,2024,8917.51,4379.07,11851.19,13796.34,38944.11,87307.18,41,40083.1
2024-01-15,55,January 2024,1,2024,9546.5,3046.96,3896.83,15672.28,32162.57,91490.19,47,42605.98
2024-01-22,56,January 2024,1,2024,9396.92,4525.24,9439.03,15037.78,38398.97,91662.96,37,44948.0
2024-01-29,57,January 2024,1,2024,6741.17,3220.25,11368.58,15293.03,36623.04,98195.46,49,47005.4
2024-02-05,58,February 2024,1,2024,7536.18,4629.67,8880.54,12680.97,33727.36,108198.08,57,48699.43
2024-02-12,59,February 2024,1,2024,8496.9,4926.88,16081.03,15073.53,44578.33,117523.12,52,49980.25
2024-02-19,60,February 2024,1,2024,9463.32,3343.45,8424.65,16493.99,37725.41,113365.72,62,50829.19
2024-02-26,61,February 2024,1,2024,7281.24,4770.7,10899.89,19353.43,42305.26,118453.68,61,51258.99
2024-03-04,62,March 2024,1,2024,7721.51,4330.22,12326.85,17877.81,42256.4,117599.36,57,51312.15
2024-03-11,63,March 2024,1,2024,6340.5,4657.65,15603.18,21459.55,48060.88,127784.06,67,51057.5
2024-03-18,64,March 2024,1,2024,6205.69,5517.43,8410.34,12697.96,32831.43,112785.4,67,50585.11
2024-03-25,65,March 2024,1,2024,9218.79,3803.69,14907.91,17616.96,45547.35,114176.16,58,50000.0
2024-04-01,66,April 2024,2,2024,10034.36,3397.01,12025.58,15550.03,41006.98,109313.14,56,49414.89
2024-04-08,67,April 2024,2,2024,7891.98,3288.39,9546.23,21569.41,42296.01,107714.4,52,48942.5
2024-04-15,68,April 2024,2,2024,9505.3,3347.35,13155.26,12575.11,38583.01,108238.16,50,48687.85
2024-04-22,69,April 2024,2,2024,8542.45,3938.32,12497.65,12480.83,37459.26,104675.88,56,48741.01
2024-04-29,70,April 2024,2,2024,7032.32,4272.92,10499.46,13201.82,35006.52,102785.05,48,49170.81
2024-05-06,71,May 2024,2,2024,8542.09,4221.35,12174.51,8628.31,33566.26,102167.28,51,50019.75
2024-05-13,72,May 2024,2,2024,10307.05,4661.75,11036.72,13422.73,39428.25,110219.8,53,51300.57
2024-05-20,73,May 2024,2,2024,7946.26,4010.4,12283.79,12722.6,36963.06,121178.61,64,52994.6
2024-05-27,74,May 2024,2,2024,10346.97,5162.83,13655.33,15451.18,44616.3,128312.86,67,55052.0
2024-06-03,75,June 2024,2,2024,4070.38,3788.27,15965.04,16025.27,39848.97,127938.3,71,57394.02
2024-06-10,76,June 2024,2,2024,9232.85,6176.14,8905.46,20628.51,44942.96,143545.67,72,59916.9
2024-06-17,77,June 2024,2,2024,8130.57,4500.53,17332.58,17851.27,47814.96,145571.05,75,62497.48
2024-06-24,78,June 2024,2,2024,7551.49,3314.27,7119.78,13269.29,31254.83,138925.71,68,65000.0
2024-07-01,79,July 2024,3,2024,8137.64,3143.29,11620.54,12304.76,35206.22,149485.63,77,67283.79
2024-07-08,80,July 2024,3,2024,5018.65,4385.98,13470.79,16475.76,39351.18,154657.01,86,69211.36
2024-07-15,81,July 2024,3,2024,7670.49,3821.23,12702.48,11039.3,35233.5,148302.32,85,70656.47
2024-07-22,82,July 2024,3,2024,8535.67,4571.2,10443.25,20494.38,44044.5,163962.62,83,71511.68
2024-07-29,83,July 2024,3,2024,10216.84,4378.59,11479.69,18538.32,44613.45,163010.13,94,71694.92
2024-08-05,84,August 2024,3,2024,7222.59,3941.74,10767.5,13592.47,35524.3,152340.45,91,71154.75
2024-08-12,85,August 2024,3,2024,6787.26,3322.57,10526.59,9860.6,30497.01,147659.82,82,69873.93
2024-08-19,86,August 2024,3,2024,7247.36,2788.12,14124.01,19061.62,43221.11,159108.96,97,67871.13
2024-08-26,87,August 2024,3,2024,9373.1,3642.79,12892.54,14656.38,40564.81,142377.21,71,65200.69
2024-09-02,88,September 2024,3,2024,8493.13,4685.12,10267.73,18713.45,42159.42,143690.04,68,61950.3
2024-09-09,89,September 2024,3,2024,7205.36,4171.27,14249.0,10216.72,35842.35,123078.1,55,58236.97
2024-09-16,90,September 2024,3,2024,8769.9,3003.41,12768.25,13201.87,37743.43,117698.02,67,54201.21
2024-09-23,91,September 2024,3,2024,8145.62,4138.54,14032.16,15015.73,41332.05,110833.91,58,50000.0
2024-09-30,92,September 2024,3,2024,9452.97,4308.25,13574.07,15140.94,42476.24,101612.28,50,45798.79
2024-10-07,93,October 2024,4,2024,6946.92,3292.91,9927.51,13649.8,33817.15,91566.7,45,41763.03
2024-10-14,94,October 2024,4,2024,7508.51,4122.98,10599.55,16868.55,39099.58,82635.81,36,38049.7
2024-10-21,95,October 2024,4,2024,7411.84,4046.57,13868.23,11797.14,37123.78,76326.52,43,34799.31
2024-10-28,96,October 2024,4,2024,5804.73,3085.62,13525.93,14572.86,36989.14,70123.45,33,32128.87
2024-11-04,97,November 2024,4,2024,8444.18,4286.23,11947.75,15360.89,40039.04,66818.72,31,30126.07
2024-11-11,98,November 2024,4,2024,8391.58,4448.63,12293.32,16543.32,41676.85,62787.09,31,28845.25
2024-11-18,99,November 2024,4,2024,8007.67,4866.44,15194.16,17134.84,45203.12,63409.04,30,28305.08
2024-11-25,100,November 2024,4,2024,7648.12,4843.04,10521.07,11626.07,34638.31,64268.89,30,28488.32
2024-12-02,101,December 2024,4,2024,5876.94,2897.86,13367.74,10397.66,32540.21,62950.45,27,29343.53
2024-12-09,102,December 2024,4,2024,7369.03,3249.74,11494.52,18833.03,40946.32,66510.3,32,30788.64
2024-12-16,103,December 2024,4,2024,7485.93,4412.03,11455.8,15996.94,39350.7,73600.44,40,32716.21
2024-12-23,104,December 2024,4,2024,6796.58,4411.03,14746.94,12754.54,38709.1,79033.48,41,35000.0
