date,week,test_revenue,control_revenue,is_treatment,period,incremental_lift
2023-06-05,23,60724.4,61361.13,Pre-Treatment,Pre-Treatment Period,-636.7299999999959
2023-06-12,24,70031.79,59809.3,Pre-Treatment,Pre-Treatment Period,10222.48999999999
2023-06-19,25,70395.71,64897.98,Pre-Treatment,Pre-Treatment Period,5497.730000000003
2023-06-26,26,71842.41,67098.21,Pre-Treatment,Pre-Treatment Period,4744.199999999997
2023-07-03,27,73448.75,71964.97,Pre-Treatment,Pre-Treatment Period,1483.7799999999988
2023-07-10,28,81435.59,75783.09,Pre-Treatment,Pre-Treatment Period,5652.5
2023-07-17,29,77420.39,68772.16,Pre-Treatment,Pre-Treatment Period,8648.229999999996
2023-07-24,30,82959.13,78037.98,Pre-Treatment,Pre-Treatment Period,4921.150000000009
2023-07-31,31,80929.55,77465.87,Pre-Treatment,Pre-Treatment Period,3463.6800000000076
2023-08-07,32,81349.31,74862.2,Pre-Treatment,Pre-Treatment Period,6487.110000000001
2023-08-14,33,80062.36,73585.7,Pre-Treatment,Pre-Treatment Period,6476.6600000000035
2023-08-21,34,75834.42,72239.8,Pre-Treatment,Pre-Treatment Period,3594.6199999999953
2023-08-28,35,71596.95,68510.25,Pre-Treatment,Pre-Treatment Period,3086.699999999997
2023-09-04,36,70641.21,63921.74,Pre-Treatment,Pre-Treatment Period,6719.470000000008
2023-09-11,37,64530.14,57238.05,Pre-Treatment,Pre-Treatment Period,7292.0899999999965
2023-09-18,38,63141.66,56727.84,Pre-Treatment,Pre-Treatment Period,6413.820000000007
2023-09-25,39,54853.62,52931.4,Pre-Treatment,Pre-Treatment Period,1922.2200000000012
2023-10-02,40,51655.73,46544.76,Pre-Treatment,Pre-Treatment Period,5110.970000000001
2023-10-09,41,47700.41,47095.49,Pre-Treatment,Pre-Treatment Period,604.9200000000055
2023-10-16,42,41169.9,42408.08,Pre-Treatment,Pre-Treatment Period,-1238.1800000000003
2023-10-23,43,35938.92,38601.75,Pre-Treatment,Pre-Treatment Period,-2662.8300000000017
2023-10-30,44,34579.1,31481.92,Pre-Treatment,Pre-Treatment Period,3097.1800000000003
2023-11-06,45,37185.3,35678.1,Pre-Treatment,Pre-Treatment Period,1507.2000000000044
2023-11-13,46,33430.89,32566.34,Pre-Treatment,Pre-Treatment Period,864.5499999999993
2023-11-20,47,31817.64,29437.42,Pre-Treatment,Pre-Treatment Period,2380.220000000001
2023-11-27,48,32220.64,30160.17,Pre-Treatment,Pre-Treatment Period,2060.470000000001
2023-12-04,49,35007.72,29323.38,Pre-Treatment,Pre-Treatment Period,5684.34
2023-12-11,50,33785.36,34168.1,Pre-Treatment,Pre-Treatment Period,-382.73999999999796
2023-12-18,51,39326.59,35788.91,Pre-Treatment,Pre-Treatment Period,3537.679999999993
2023-12-25,52,42250.0,39495.85,Pre-Treatment,Pre-Treatment Period,2754.1500000000015
2024-01-01,53,42266.57,38595.2,Pre-Treatment,Pre-Treatment Period,3671.3700000000026
2024-01-08,54,45693.5,40439.89,Pre-Treatment,Pre-Treatment Period,5253.610000000001
2024-01-15,55,48187.28,41361.42,Pre-Treatment,Pre-Treatment Period,6825.860000000001
2024-01-22,56,49208.47,44707.12,Pre-Treatment,Pre-Treatment Period,4501.3499999999985
2024-01-29,57,51445.68,48607.86,Pre-Treatment,Pre-Treatment Period,2837.8199999999997
2024-02-05,58,58761.21,53456.63,Pre-Treatment,Pre-Treatment Period,5304.580000000002
2024-02-12,59,58350.71,54491.73,Pre-Treatment,Pre-Treatment Period,3858.979999999996
2024-02-19,60,58012.94,54454.68,Pre-Treatment,Pre-Treatment Period,3558.260000000002
2024-02-26,61,62372.4,55769.15,Pre-Treatment,Pre-Treatment Period,6603.25
2024-03-04,62,61431.82,55314.62,Pre-Treatment,Pre-Treatment Period,6117.199999999997
2024-03-11,63,65530.44,59226.36,Pre-Treatment,Pre-Treatment Period,6304.080000000002
2024-03-18,64,57263.56,52109.47,Pre-Treatment,Pre-Treatment Period,5154.0899999999965
2024-03-25,65,57907.79,56385.02,Pre-Treatment,Pre-Treatment Period,1522.770000000004
2024-04-01,66,55418.73,56418.88,Pre-Treatment,Pre-Treatment Period,-1000.1499999999942
2024-04-08,67,56751.47,51980.17,Pre-Treatment,Pre-Treatment Period,4771.300000000003
2024-04-15,68,54996.31,53004.78,Pre-Treatment,Pre-Treatment Period,1991.5299999999988
2024-04-22,69,53568.0,50427.44,Pre-Treatment,Pre-Treatment Period,3140.5599999999977
2024-04-29,70,57288.35,49192.73,Pre-Treatment,Pre-Treatment Period,8095.619999999995
2024-05-06,71,54850.9,47985.53,Pre-Treatment,Pre-Treatment Period,6865.370000000003
2024-05-13,72,57261.81,55561.71,Pre-Treatment,Pre-Treatment Period,1700.0999999999985
2024-05-20,73,62072.43,60884.41,Pre-Treatment,Pre-Treatment Period,1188.0199999999968
2024-05-27,74,67784.31,60746.47,Pre-Treatment,Pre-Treatment Period,7037.8399999999965
2024-06-03,75,67476.53,62869.22,Pre-Treatment,Pre-Treatment Period,4607.309999999998
2024-06-10,76,75576.46,66546.58,Pre-Treatment,Pre-Treatment Period,9029.880000000005
2024-06-17,77,74606.24,69502.82,Pre-Treatment,Pre-Treatment Period,5103.419999999998
2024-06-24,78,72129.72,67615.35,Pre-Treatment,Pre-Treatment Period,4514.369999999995
2024-07-01,79,80847.26,69750.09,Treatment,Treatment Period,11097.169999999998
2024-07-08,80,82748.47,75151.24,Treatment,Treatment Period,7597.229999999996
2024-07-15,81,80641.56,72806.28,Treatment,Treatment Period,7835.279999999999
2024-07-22,82,89498.93,79390.83,Treatment,Treatment Period,10108.099999999991
2024-07-29,83,88235.91,75753.42,Treatment,Treatment Period,12482.490000000005
2024-08-05,84,82389.37,73434.95,Treatment,Treatment Period,8954.419999999998
2024-08-12,85,79566.01,68961.59,Treatment,Treatment Period,10604.419999999998
2024-08-19,86,83651.65,77952.03,Treatment,Treatment Period,5699.619999999995
2024-08-26,87,77257.4,69363.31,Treatment,Treatment Period,7894.0899999999965
2024-09-02,88,77733.89,69015.85,Treatment,Treatment Period,8718.039999999994
2024-09-09,89,67929.92,58303.42,Treatment,Treatment Period,9626.5
2024-09-16,90,64416.62,55801.64,Treatment,Treatment Period,8614.980000000003
2024-09-23,91,59832.85,52736.52,Treatment,Treatment Period,7096.330000000002
2024-09-30,92,56480.12,48055.77,Treatment,Treatment Period,8424.350000000006
2024-10-07,93,51929.74,42610.1,Treatment,Treatment Period,9319.64
2024-10-14,94,45318.29,39005.59,Treatment,Treatment Period,6312.700000000004
2024-10-21,95,44454.4,36931.56,Treatment,Treatment Period,7522.840000000004
2024-10-28,96,40043.61,31430.91,Treatment,Treatment Period,8612.7
2024-11-04,97,38101.77,33407.43,Treatment,Treatment Period,4694.3399999999965
2024-11-11,98,35709.77,31736.02,Treatment,Treatment Period,3973.7499999999964
2024-11-18,99,34999.45,32550.36,Treatment,Treatment Period,2449.0899999999965
2024-11-25,100,39545.01,30304.81,Treatment,Treatment Period,9240.2
2024-12-02,101,34122.91,32396.29,Treatment,Treatment Period,1726.6200000000026
2024-12-09,102,39533.88,31140.66,Treatment,Treatment Period,8393.219999999998
2024-12-16,103,40262.02,34905.54,Treatment,Treatment Period,5356.479999999996
2024-12-23,104,41459.54,36558.09,Treatment,Treatment Period,4901.450000000004
